Visit ID,Visit Date,Patient ID,Diagnosis Category,Diagnosis Sub Category,Treatment Category,Treatment Sub Category,New Patient,Consulting Physician,Patient Name,Patient Gender,Patient Age Range,Patient Blood Type,Patient Insurance Number,Patient Phone,Patient Address,Patient Occupation,Patient Emergency Contact
VZW170561,2017-01-08,PPG371962,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. James Barber,Cheyenne Gallagher,Male,51-64,B-,O461768402,017132681070,"Gunhild-Etzler-Straße 935
13513 Geithain",Community education officer,"Stephanie Morris, 017805154319."
VYN756054,2017-01-08,PHN258871,Endocrine/ Metabolic,,Diagnostic/Physician Evaluation,,True,Dr. James Barber,Kristy King,Male,51-64,O-,G964003490,016456741767,"Lutz-Krause-Platz 8
56188 Lüdinghausen",Fitness centre manager,"Aaron Wright, 016739209031."
VKS771955,2017-01-08,PBP227611,Dental,Decay/ Root Involvement,Dental/Orthodontic,Dental Anesthesia,True,Dr. Alexandria Gaines,Brooke Garcia,Female,51-64,AB+,V972115910,015100614806,"Enno-Geisler-Straße 23
85753 Merseburg","Engineer, civil (consulting)","Allison Diaz, 015175481503."
VCF856188,2017-01-08,PMC152130,Mental,Substance Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Alexandria Gaines,Danielle Scott,Male,51-64,B+,W470134807,016386826370,"Gießweg 7
69811 Backnang",Retail banker,"Mr. Michael Ortiz, 016267251493."
VZM906020,2017-01-08,POG492254,Orthopedic/ Musculoskeletal,,Durable Medical Equipment,Braces,True,Dr. Alexandria Gaines,Denise Dennis,Female,51-64,B+,N521490828,016811772371,"Hofmannstr. 53
94540 Eisenberg",Herbalist,"Joel Jennings, 017135753030."
VCL487846,2017-01-08,PSE478318,Mental,Bipolar Disorder,Mental Health Treatment,,True,Dr. Eddie Young,Sandra Robinson,Male,10-20,B+,Private,015382451295,"Tlustekweg 6
96636 Altentreptow",Ergonomist,"Dean King, 016376673124."
VJP269582,2017-01-08,PEA438041,"Ears, Nose, Throat",Otitis Media,Acute Medical Services - Outpatient,Emergency Room,True,Dr. Michelle Lamb,Christopher Gonzalez,Female,10-20,A-,N999151318,017731364036,"Stumpfring 9/9
25057 Chemnitz",Community development worker,"Richard Heath, 017784214174."
VYB388923,2017-01-08,PYE785561,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Eddie Young,Anthony Anderson,Female,51-64,A-,E114188369,016323069849,"Sandy-Scholz-Straße 70
01480 Bad Kissingen",Pathologist,"Duane Joseph, 016506180773."
VUE281726,2017-01-08,PPI854228,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Shelly Hunt,Timothy Patterson,Male,51-64,O-,W601389197,016000293325,"Guenther-Faust-Gasse 303
28818 Schwarzenberg",Clinical biochemist,"Alexis Daugherty, 015017521038."
VIB284098,2017-01-08,PXR303393,Orthopedic/ Musculoskeletal,Amputation,Durable Medical Equipment,Prosthesis,True,Dr. Alexandria Gaines,Cameron James,Male,51-64,O-,A339090032,016391654310,"Charles-Junitz-Straße 57
02375 Schwerin",Applications developer,"Edward Welch, 017285177783."
VFT340180,2017-01-08,PWF060635,Orthopedic/ Musculoskeletal,Back Pain,Electrical/ Thermal/ Radiofreq. Interventions,IDET,True,Dr. Alexandria Gaines,Bruce Wilson,Female,41-50,B+,F452205127,016417154667,"Dimitrios-Caspar-Weg 61
75385 Rosenheim","Administrator, arts","James Powell, 017487052490."
VFY101881,2017-01-08,PUB892018,Central Nervous System/ Neuromuscular,Multiple Sclerosis,Durable Medical Equipment,Electric Bone Stimulator,True,Dr. Alexandria Gaines,April Williams,Female,51-64,B-,W272985532,017533462752,"Heinz-Wilhelm-Thanel-Ring 3/2
81597 Roding",Operational researcher,"Penny Smith, 017437760256."
VCD049551,2017-01-08,PXU529928,Endocrine/ Metabolic,Diabetes,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. Alexandria Gaines,Shari Patterson,Male,51-64,A+,B638952896,017056137190,"Wähnerstraße 9
99501 Bad Mergentheim",Risk manager,"Jeffery Mendoza, 017418231951."
VRD010133,2017-01-08,PVW942378,Cardiac/Circulatory,Hypertension,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,True,Dr. Jerry Daniels,Larry Frazier,Male,51-64,A-,Y945492970,016306530935,"Minna-Klotz-Gasse 1
55843 Hannoversch Münden","Engineer, communications","Paul Vincent, 017740391054."
VML860583,2017-01-08,PVZ425093,Infectious,Lyme Disease,Pharmacy/Prescription Drugs,Antibiotics,True,Dr. James Barber,Kevin Ward,Female,41-50,O+,Z565494443,015062942633,"Schäfergasse 582
93088 Burglengenfeld","Engineer, aeronautical","Frank Malone, 015815204522."
VMT361416,2017-01-08,PYJ182903,Cancer,Pancreas Cancer,Cancer Treatment,Surgery,True,Dr. Jerry Daniels,Justin Lee,Male,51-64,O-,P833267558,017122381452,"Iris-Dowerg-Straße 183
11361 Göppingen",Primary school teacher,"Tara Lawrence, 015149008666."
VYH922780,2017-01-08,PTV984035,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Alexandria Gaines,Michael Lambert,Male,0-10,B-,G184667752,015699722943,"Heinzgasse 5
20579 Stendal",Forest/woodland manager,"George Rodriguez, 017559030571."
VBM486391,2017-01-09,PWP635564,Central Nervous System/ Neuromuscular,Headache/Migraine,Pharmacy/Prescription Drugs,Treatment for Migraine,True,Dr. Eddie Young,Morgan Ewing,Female,51-64,AB+,T806806320,015988452025,"Imelda-Lange-Straße 2/2
49709 Werdau",International aid/development worker,"Stephen Moran, 016024692362."
VRY619439,2017-01-09,PGE311392,Cancer,Prostate Cancer,Special Procedure,Cryoablation,True,Dr. Michelle Lamb,David Chambers,Male,65+,O-,C170199779,016318716670,"Heckerring 0/3
45146 Schongau",Research scientist (physical sciences),"Allison Martin, 015553671123."
VIL852494,2017-01-09,PPW622989,Pediatrics,,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Alexandria Gaines,Denise Collins,Male,0-10,AB-,Z402517203,015095386682,"Grafstraße 6
34548 Berlin","Therapist, art","Matthew Robinson, 016314504886."
VXX513967,2017-01-09,PCS185470,Prevention/Good Health,,"Diagnostic Imaging, Screening and Testing",,True,Dr. Eddie Young,Jerry Garcia,Female,51-64,AB-,L604722668,016343399195,"Kramerweg 33
16823 Burglengenfeld",Marketing executive,"Jeffrey Holder, 015607435521."
VLZ938057,2017-01-09,PSV925181,Cancer,Skin Cancer,"Diagnostic Imaging, Screening and Testing",PET Scan,True,Dr. Jerry Daniels,Mark Henson,Male,51-64,A+,Y529492051,017091994921,"Huhnstraße 2
61622 Sonneberg",Health promotion specialist,"Danielle Gregory, 016745288448."
VTH990241,2017-01-09,PYP181109,Orthopedic/ Musculoskeletal,Knee Problem,"Diagnostic Imaging, Screening and Testing",MRI,True,Dr. Shelly Hunt,Desiree Proctor,Female,41-50,O-,G288666820,016845113095,"Geislerweg 16
42594 Lübben",Dentist,"Alyssa Anderson, 017109264804."
VMO829873,2017-01-09,PCB775429,Orthopedic/ Musculoskeletal,Deformities,Durable Medical Equipment,Braces,True,Dr. James Barber,Nicole Jones,Male,41-50,O-,J205748992,016070521230,"Juergen-Sölzer-Allee 29
78025 Parsberg",Exhibition designer,"Eric Morris, 017244616383."
VMZ626044,2017-01-09,PAT085810,Mental,Substance Abuse/ Addiction,Mental Health Treatment,Drug Rehabilitation Program,True,Dr. Michelle Lamb,Elizabeth Lewis,Male,10-20,B-,W360027843,015546589912,"Heydrichweg 7/1
93475 Rochlitz",Writer,"Phyllis Ford, 015639414201."
VIJ862130,2017-01-09,PJN579607,Central Nervous System/ Neuromuscular,Headache/Migraine,"Diagnostic Imaging, Screening and Testing",CT Scan,True,Dr. Eddie Young,Jennifer Martin,Female,31-40,A-,T985503802,016892061491,"Niemeierring 21
44676 Ilmenau","Designer, industrial/product","Michael Gray, 017153007949."
VNM005835,2017-01-09,PYW458235,Respiratory System,Sleep Apnea,Special Procedure,Sleep Studies,True,Dr. Michelle Lamb,Brian Kim,Other,0-10,AB+,P682557810,017721322089,"Corinne-Franke-Gasse 4/2
62309 Bitterfeld","Buyer, retail","Thomas Cruz, 017801083027."
VIZ926527,2017-01-09,PSM624388,Endocrine/ Metabolic,Diabetes,Special Procedure,Hyperbaric Oxygen Chamber,True,Dr. Alexandria Gaines,Ashley Morris,Male,51-64,AB+,N991031322,016030078938,"Schülerallee 393
12917 Konstanz",Hospital pharmacist,"James Castro, 015686631911."
VKI848697,2017-01-09,PJF470518,Autism Spectrum,Autism-PDD-NOS,Autism Related Treatment,Speech Therapy,True,Dr. James Barber,Victoria Thomas,Male,0-10,AB+,V958623238,016942966956,"Roggeallee 9
85222 Bad Kissingen","Therapist, horticultural","Anthony Bryan, 017850891781."
VBA452525,2017-01-10,PLS308541,OB-Gyn/ Pregnancy,Endometriosis,OB/GYN Procedures,Laparoscopy,True,Dr. Alexandria Gaines,Michael White,Female,31-40,O+,Private,015848187982,"Schustergasse 26
46803 Göttingen",Metallurgist,"Andrea Bishop, 017447813145."
VTB523476,2017-01-10,PFB189716,Orthopedic/ Musculoskeletal,Scoliosis,Chiropractic,Joint Manipulation,True,Dr. James Barber,Terri Bowers,Female,31-40,B+,F839201442,015882148449,"Betty-Schweitzer-Ring 5/8
09509 Pasewalk",Food technologist,"Billy Bell, 017145688389."
VJS042444,2017-01-10,PLV180041,Skin,Skin Lesion,Acute Medical Services - Inpatient,Admission,True,Dr. Shelly Hunt,Jessica Santiago,Other,0-10,A+,A330386500,016895353768,"Noackweg 99
62487 Helmstedt",Chartered loss adjuster,"Melanie Bailey, 016512975568."
VKD174427,2017-01-10,PWH184331,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Mental Health Treatment,Drug Rehabilitation Program,True,Dr. James Barber,Kristy Freeman,Female,41-50,A+,I540415554,015654394426,"Gabriella-Fritsch-Platz 1
91696 Cottbus",Media planner,"Howard Phelps, 016737139006."
VFX241118,2017-01-10,PAU297883,Mental,ADD - Attention Deficit Disorder,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. James Barber,Jessica Burgess,Other,0-10,B+,O269737484,015850144773,"Donald-Gehringer-Ring 063
13820 Bad Brückenau",Best boy,"Frank Evans, 016840351634."
VCU690137,2017-01-10,PDA133615,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,True,Dr. Michelle Lamb,Brittany Dixon,Female,41-50,B+,O993735658,017181161866,"Mansgasse 308
91208 Zschopau",Field seismologist,"Amy Galvan, 015298642760."
VPS577509,2017-01-10,PAQ032139,Orthopedic/ Musculoskeletal,,Electrical/ Thermal/ Radiofreq. Interventions,,True,Dr. James Barber,Dawn Medina,Female,51-64,AB+,X144825889,015379370578,"Henckring 775
75834 Berchtesgaden",Land/geomatics surveyor,"Jasmine Jackson, 016520717031."
VEF221584,2017-01-10,PAS723851,Orthopedic/ Musculoskeletal,Back Pain,Electrical/ Thermal/ Radiofreq. Interventions,IDET,True,Dr. James Barber,Joseph Walker,Female,41-50,A-,E626486003,016006131552,"Döringstraße 094
08213 Marienberg",Solicitor,"Joseph Ruiz, 016795643980."
VIG285959,2017-01-10,PIG605259,Cardiac/Circulatory,Hypertension,Diagnostic/Physician Evaluation,Specialty Consultation Referral,True,Dr. Shelly Hunt,Kristin Medina,Female,41-50,A+,J406130590,017289417172,"Heinrichallee 5
01003 Cuxhaven",Ecologist,"Jack Glover, 015818676207."
VGJ759595,2017-01-10,PBX484877,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Orthopedic,Knee Replacement,True,Dr. Shelly Hunt,Tracy Bray,Female,31-40,B+,L184954351,016050715677,"Hanna-Mühle-Platz 12
94518 Güstrow",Data scientist,"Randy Lee, 015486035492."
VNY831219,2017-01-10,PIB361424,Respiratory System,Shortness of Breath,"Diagnostic Imaging, Screening and Testing",Bone Density Scan,True,Dr. Jerry Daniels,Tammie Kennedy,Female,41-50,B-,I278425849,015878848259,"Jesselstr. 4
48606 Gadebusch",Purchasing manager,"Nathaniel Wallace, 017577323723."
VOV063671,2017-01-10,PAU732014,Pediatrics,Developmental Delays/ Cognitive,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Eddie Young,Jennifer Lee,Female,0-10,O+,Z289324928,015485075849,"Kläre-Ortmann-Platz 0/0
51019 Hettstedt",Product/process development scientist,"Samantha Hayes, 017591601006."
VXF750088,2017-01-10,PUI986516,OB-Gyn/ Pregnancy,Pregnancy,"Diagnostic Imaging, Screening and Testing",Lab Work,True,Dr. Eddie Young,Jesse Martin,Female,21-30,AB-,K635699415,015979203532,"Keudelstraße 15
02597 Wernigerode",Technical brewer,"Amanda Jones, 017914909811."
VWX116172,2017-01-10,PUN164189,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Shelly Hunt,Douglas Osborne,Male,10-20,B-,G835422169,015374034375,"Lübsweg 868
39320 Griesbach Rottal",Travel agency manager,"William Jennings, 017610574064."
VSG246119,2017-01-11,PSH658900,Orthopedic/ Musculoskeletal,Knee Problem,Orthopedic,Knee Replacement,False,Dr. Eddie Young,Kaylee Diaz,Female,21-30,B-,J488396378,017986726551,"Klara-Weitzel-Weg 16
98599 Waldmünchen",Sub,"Laurie Andrews, 017636436417."
VPN673457,2017-01-11,PJR521487,Orthopedic/ Musculoskeletal,Osteoporosis,"Diagnostic Imaging, Screening and Testing",Bone Density Scan,True,Dr. Michelle Lamb,Samantha Castillo,Male,41-50,A-,H533708747,016771028938,"Süßebierplatz 4
57386 Göttingen",Proofreader,"Donald Clayton, 017116512219."
VCF252153,2017-01-11,PXU809020,Skin,,Reconstructive/Plastic Surgery,Panniculectomy,True,Dr. Shelly Hunt,David Dixon,Female,31-40,A-,U831923458,016023159675,"Dowerggasse 95
46674 Rothenburg ob der Tauber",Chief Technology Officer,"Deanna Daniels, 016269375490."
VSA867470,2017-01-11,PJZ848816,"Ears, Nose, Throat",Sinusitis - Sinus Infections,"Ear, Nose and Throat Procedures",Sinus Surgery,False,Dr. James Barber,Hannah Kelley,Male,51-64,A+,U225485795,017423108137,"Ullmannweg 26
82008 Dachau",Brewing technologist,"Stephanie Boyd, 015784302931."
VKH819829,2017-01-11,PXV076288,Mental,Psychosis,Mental Health Treatment,Acute Psychiatric Facility Admission,True,Dr. Jerry Daniels,George Campbell,Female,21-30,O-,W456870125,015094769596,"Hanna-Heuser-Allee 1
69744 Mayen",English as a second language teacher,"Christy Stone, 016582178228."
VJR699250,2017-01-11,POJ392478,Mental,,Mental Health Treatment,Acute Psychiatric Facility Admission,True,Dr. Alexandria Gaines,Amy Gutierrez,Female,10-20,B+,G157964802,017437490665,"Schweitzerstraße 04
34017 Nürtingen",Trade mark attorney,"Rita Schwartz, 015238588841."
VQL367022,2017-01-11,PHO267889,Genitourinary/ Kidney,Erectile Dysfunction,Pharmacy/Prescription Drugs,Treatment for Impotence,True,Dr. Shelly Hunt,Jose Adams,Other,0-10,AB-,N782184413,015918080648,"Seifertring 6
40335 Germersheim",Make,"Grant Washington, 017640890541."
VAP380778,2017-01-11,PYH838395,Endocrine/ Metabolic,Diabetes,Durable Medical Equipment,Insulin Pump,True,Dr. James Barber,Isabel Wise,Female,41-50,AB+,I119373473,017284249257,"Anna-Marie-Zorbach-Weg 719
41863 Grimma","Restaurant manager, fast food","Craig Robertson, 015279508610."
VOY722238,2017-01-11,PQT756307,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,True,Dr. Alexandria Gaines,Mr. David Smith,Female,51-64,O+,J411088384,017992893239,"Jörg-Peter-Hamann-Gasse 1/7
73201 Pasewalk",Dispensing optician,"Amy Aguilar, 017570915501."
VPL923541,2017-01-11,PMT523753,Endocrine/ Metabolic,Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Michelle Lamb,Kelly Aguilar,Male,51-64,AB-,Y857294199,017209491882,"Lindnerplatz 59
66718 Görlitz","Conservation officer, nature","Ronald Porter, 015262821561."
VHA944362,2017-01-11,PFA761371,Autism Spectrum,Autism-PDD-NOS,,ABA-Applied Behavioral Analysis,True,Dr. Jerry Daniels,John Chen,Male,0-10,O-,Private,017159227700,"Döhngasse 23
01361 Sangerhausen","Engineer, manufacturing systems","Amanda Cantu, 015932947443."
VSW323840,2017-01-11,PEU770447,Orthopedic/ Musculoskeletal,,Rehabilitation Services - Outpatient,Physical Therapy,True,Dr. Shelly Hunt,Michael Barnes,Female,51-64,B-,J862320750,017137109619,"Reichmanngasse 4
36974 Pinneberg","Psychologist, sport and exercise","Steven Haney, 017518393465."
VSJ190881,2017-01-11,PRO768048,Mental,ADD - Attention Deficit Disorder,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. Eddie Young,Brian Ward,Female,41-50,AB+,R338694956,016638769612,"Scheibeweg 4/6
32730 Kassel","Designer, ceramics/pottery","Betty Edwards, 017215493316."
VFB829408,2017-01-11,PJS048583,Cancer,Breast Cancer,"Diagnostic Imaging, Screening and Testing",MRI,True,Dr. James Barber,Bryan Hampton,Female,51-64,AB+,N801864004,015255911448,"Cäcilia-Juncken-Allee 20
66972 Aschaffenburg","Production designer, theatre/television/film","Christina Smith, 016230750136."
VPY800123,2017-01-11,PXR303393,Cancer,Renal Cancer,Special Procedure,Cryoablation,False,Dr. Michelle Lamb,Cameron James,Male,51-64,O-,A339090032,016391654310,"Charles-Junitz-Straße 57
02375 Schwerin",Applications developer,"Edward Welch, 017285177783."
VZI182548,2017-01-11,PSC063682,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,True,Dr. Alexandria Gaines,Rachel Franklin,Female,31-40,B-,J192066363,015846931385,"Aloisia-Klingelhöfer-Weg 185
40593 Miesbach",Jewellery designer,"Jason Bell, 016759517636."
VCE235744,2017-01-11,PDV359643,Endocrine/ Metabolic,Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Eddie Young,Paul Moran,Female,31-40,AB-,K212553238,016436052626,"Klaus-Gotthard-Allee 2/3
60335 Hünfeld","Horticulturist, commercial","Kelly Hopkins, 015253947895."
VQO393619,2017-01-11,PUX691294,Central Nervous System/ Neuromuscular,Paralysis,Durable Medical Equipment,Wheelchair,True,Dr. Shelly Hunt,Ashley Young,Female,21-30,B+,K961109453,015651789136,"Bertram-Seifert-Straße 5
18777 Wiedenbrück","Psychologist, occupational","Margaret Obrien, 017438452911."
VRA112133,2017-01-11,PTT515416,Digestive System/ Gastrointestinal,Crohn's Disease,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,True,Dr. James Barber,Marcus Duncan,Female,21-30,O+,C842776672,017411445753,"Jenny-Trupp-Weg 8
71216 Roding",Trade mark attorney,"Michelle Novak, 016481990275."
VWA014481,2017-01-12,PYP994209,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Eddie Young,Michelle Gibson,Female,41-50,AB-,Private,015189830254,"Beergasse 7/7
27294 Marienberg",Barrister,"Charles Kennedy, 015478521483."
VPH051634,2017-01-12,PGC901504,Morbid Obesity,Excess Skin,General Surgery,Bariatric Lap Band,True,Dr. Michelle Lamb,Jocelyn Frazier,Female,31-40,AB-,N134751728,016052840935,"Ron-Wernecke-Weg 02
90285 Cottbus",Structural engineer,"Ronnie Campos, 016840264717."
VDC172825,2017-01-12,PNB336770,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Michelle Lamb,Andrea Bauer,Female,41-50,B+,A772888493,016111422015,"Folker-Klemm-Gasse 7/2
12743 Kulmbach",Warehouse manager,"Marc Rivera, 016884622860."
VGS323821,2017-01-12,PJA029090,Mental,Eating Disorder,Mental Health Treatment,Partial Hospitalization,True,Dr. Alexandria Gaines,Anna Brown,Female,10-20,O+,M957132864,015938686324,"Seifertgasse 17
97170 Fürstenfeldbruck","Conservator, furniture","Timothy Davis, 016362026494."
VBC543505,2017-01-12,PRV697774,Central Nervous System/ Neuromuscular,Parkinson Disease,Chiropractic,Joint Manipulation,True,Dr. Michelle Lamb,Mr. Miguel Maxwell V,Male,51-64,AB+,G762561277,016167709538,"Hannelore-Schmidt-Weg 75
43423 Ahaus","Producer, television/film/video","Laurie Bennett, 015275729568."
VSV411931,2017-01-12,PQO629532,Cancer,Bone Cancer,Pharmacy/Prescription Drugs,Investigational Treatment Protocol,True,Dr. Jerry Daniels,Zoe Rivera,Male,51-64,B-,V607422089,016998333982,"Pruschkeplatz 3/4
55557 Finsterwalde","Designer, industrial/product","Ryan Lawson, 015393705404."
VTZ668316,2017-01-12,PAO814431,Endocrine/ Metabolic,Thyroid Problems,"Diagnostic Imaging, Screening and Testing",Lab Work,True,Dr. Jerry Daniels,Kathy Becker,Male,51-64,O+,R776973213,017935016853,"Viola-Bender-Straße 00
67914 Strasburg",Museum/gallery exhibitions officer,"Bryce Martinez, 017650485837."
VVQ364316,2017-01-12,PFK298759,Central Nervous System/ Neuromuscular,Headache/Migraine,Alternative Treatment,Biofeedback,True,Dr. Eddie Young,Christina Watson,Female,0-10,B+,O796411247,017506134435,"Kruschwitzallee 35
59649 Cuxhaven",Associate Professor,"Todd Tyler, 017438024408."
VSU552620,2017-01-12,PHW381792,Cancer,Colon Cancer,Cancer Treatment,Out-of-Network/Academic Center Referral,True,Dr. Jerry Daniels,Carl Robertson,Female,41-50,B+,E186510873,015773298007,"Kabusgasse 470
14989 Niesky","Nurse, learning disability","Elizabeth Bradford, 016940045635."
VTV664595,2017-01-12,PTT695599,Digestive System/ Gastrointestinal,Irritable Bowel Syndrome,"Diagnostic Imaging, Screening and Testing",,True,Dr. Eddie Young,Anita Heath,Male,51-64,AB-,Y128660882,016774293917,"Zimmerplatz 1
93693 Weißenfels",Microbiologist,"Kyle Turner, 015821861000."
